Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
Dana Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,3/3/06,confirmed,no 363 sale,663,VA,NY SD,New York,Forum Shop,debtors,free fall,"44,000",Company emerged,"emerged 5 years, did not refile",OH Toledo,12/26/07,b $1 billion but less than $10 billion,"a 30,000 and over","$11,340,657,287 ","$9,629 ",Chapter 11,Jones Day
Days Inns of America Inc.,I: Services,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",Not tort,9/27/91,confirmed,363 sale,448,DE,DE,Wilmington,Forum Shop,debtors,free fall,"3,593",Company emerged,"emerged 5 years, did not refile",GA Atlanta,12/18/92,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$173,710,718 ","$1,132 ",Chapter 11,Willkie Farr
Dayton Superior Corporation,D: Manufacturing,33 Primary Metal Industries,Not tort,4/19/09,confirmed,no 363 sale,178,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,400",Company emerged,"emerged 5 years, did not refile",OH Dayton,10/14/09,d Less than $500 million,"c 1,000 but less than 10,000","$581,388,475 ",$367 ,Chapter 11,Latham Watkins
DDI Corp.,D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,8/20/03,confirmed,no 363 sale,104,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"1,900",Company emerged,"emerged 5 years, did not refile",CA Santa Ana,12/2/03,d Less than $500 million,"c 1,000 but less than 10,000","$351,061,382 ",$312 ,Chapter 11,Kirkland Ellis
De Laurentiis Entertainment Group Inc.,I: Services,78 Motion Pictures,Not tort,8/16/88,confirmed,no 363 sale,625,DE,CA CD,Los Angeles,Filed at headquarters,debtors,free fall,146,company did not emerge,not emerged 5 years,CA Los Angeles,5/3/90,d Less than $500 million,e Less than 200,"$150,818,824 ",$494 ,Chapter 11,Levene Eisenberg
Dean Foods Company,D: Manufacturing,20 Food and Kindred Products,Not tort,11/12/19,pending,363 sale,,DE,TX SD,Houston,Forum Shop,debtors,free fall,"15,000",case pending,not emerged 5 years,TX Dallas,,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,676,296,545 ","$2,145 ",Chapter 11,Davis Polk
DecisionOne Holdings Corp.,I: Services,73 Business Services,Not tort,2/14/00,confirmed,no 363 sale,36,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"5,110",Company emerged,"emerged 5 years, refiled",PA Philadelphia,3/21/00,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,113,599,982 ",$699 ,Chapter 11,Debevoise Plimpton
Delphi Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,10/8/05,confirmed,no 363 sale,839,DE,NY SD,New York,Forum Shop,debtors,free fall,"185,200",Company emerged,"emerged 5 years, did not refile",MI Detroit,1/25/08,a $10 billion and over,"a 30,000 and over","$37,426,138,695 ","$21,697 ",Chapter 11,Skadden Arps
"Delta Air Lines, Inc.","E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,9/14/05,confirmed,no 363 sale,588,DE,NY SD,New York,Forum Shop,debtors,free fall,"69,150",Company emerged,"emerged 5 years, did not refile",GA Atlanta,4/25/07,a $10 billion and over,"a 30,000 and over","$19,656,091,288 ","$28,564 ",Chapter 11,Davis Polk
Delta Financial Corporation,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,12/17/07,confirmed,no 363 sale,361,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,395",company did not emerge,not emerged 5 years,NY Central Islip,12/12/08,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$635,186,935 ","$8,173 ",Chapter 11,Morrison Foerster
Delta Petroleum Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,12/15/11,confirmed,no 363 sale,245,DE,DE,Wilmington,Forum Shop,debtors,free fall,39,Company emerged,"emerged 5 years, did not refile",CO Denver,8/16/12,b $1 billion but less than $10 billion,e Less than 200,"$169,444,528 ","$1,182 ",Chapter 11,Hughes Hubbard
Denbury Resources Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,7/30/20,confirmed,no 363 sale,34,DE,TX SD,Houston,Forum Shop,debtors,prepackaged,806,Company emerged,not emerged 5 years,TX Plano,9/2/20,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$1,281,638,722 ","$4,717 ",Chapter 11,Kirkland Ellis
Dendreon Corporation,D: Manufacturing,28 Chemicals and Allied Products,Not tort,11/10/14,confirmed,363 sale,204,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,540,company did not emerge,not emerged 5 years,WA Seattle,6/2/15,d Less than $500 million,"d 200 but less than 1,000","$312,971,174 ",$479 ,Chapter 11,Skadden Arps
Derby Cycle Corp,D: Manufacturing,37 Transportation Equipment,Not tort,8/20/01,confirmed,363 sale,165,DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,745",Company emerged,"emerged 5 years, did not refile",CT Bridgeport,2/1/02,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$772,910,737 ",$522 ,Chapter 11,PauL Weiss
"Dex Media, Inc. (2016)",I: Services,73 Business Services,Not tort,5/16/16,confirmed,no 363 sale,60,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"3,500",Company emerged,not emerged 5 years,TX Dallas,7/15/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,967,956,866 ","$1,867 ",Chapter 11,Kirkland Ellis
Dex One Corporation (2013),I: Services,73 Business Services,Not tort,3/18/13,confirmed,no 363 sale,42,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"2,300",Company emerged,"emerged 5 years, refiled",NC Raleigh,4/29/13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,454,715,728 ","$3,173 ",Chapter 11,Kirkland Ellis
"Diamond Offshore Drilling, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,4/26/20,pending,case pending,,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,"2,500",case pending,not emerged 5 years,TX Houston,,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$996,268,425 ","$5,927 ",Chapter 11,Paul Weiss
Ditech Holding Corporation (2019),"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,2/11/19,confirmed,no 363 sale,227,MD,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,900",company did not emerge,not emerged 5 years,PA Philadelphia,9/26/19,a $10 billion and over,"c 1,000 but less than 10,000","$871,983,436 ","$11,628 ",Chapter 11,Weil Gotshal
"Divi Hotels, N.V.",I: Services,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",Not tort,7/25/91,confirmed,no 363 sale,68,Aruba,FL SD,Miami,Forum Shop,debtors,prenegotiated,"2,500",Company emerged,"emerged 5 years, did not refile",Outside United States,10/1/91,d Less than $500 million,"c 1,000 but less than 10,000","$177,684,498 ",$398 ,Chapter 11,Gibson Dunn
"divine, inc.",I: Services,73 Business Services,Not tort,2/25/03,confirmed,363 sale,652,DE,MA,Boston,Forum Shop,debtors,free fall,"3,600",Company emerged,"emerged 5 years, did not refile",IL Chicago,12/8/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$284,515,565 ","$1,244 ",Chapter 11,Latham Watkins
Dolan Company,I: Services,73 Business Services,Not tort,3/23/14,confirmed,no 363 sale,78,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"1,708",Company emerged,"emerged 5 years, did not refile",MN Minneapolis,6/9/14,d Less than $500 million,"c 1,000 but less than 10,000","$280,335,869 ",$496 ,Chapter 11,Kirkland Ellis
Doral Financial Corporation,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,3/11/15,confirmed,no 363 sale,518,Puerto Rico,NY SD,New York,Filed at headquarters,debtors,free fall,"1,333",company did not emerge,not emerged 5 years,NY New York,8/10/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$476,610,310 ","$9,370 ",Chapter 11,Ropes Gray
Doskocil Cos Inc.,D: Manufacturing,20 Food and Kindred Products,Not tort,3/5/90,confirmed,no 363 sale,570,DE,KS,Topeka,Forum Shop,debtors,free fall,"4,700",Company emerged,"emerged 5 years, did not refile",KS Wichita (not required),9/26/91,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$976,348,436 ",$934 ,Chapter 11,Stutman Treister
Dow Corning Corporation,D: Manufacturing,28 Chemicals and Allied Products,Other products,5/15/95,confirmed,no 363 sale,"1,660",MI,MI ED,Bay City,Filed at headquarters,debtors,free fall,"8,300",Company emerged,"emerged 5 years, did not refile",MI Bay City,11/30/99,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$3,772,936,796 ","$7,005 ",Chapter 11,Sheinfeld Maley
Downey Financial Corp.,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,11/25/08,Chapter 7 at filing,Chapter 7 at filing,,DE,DE,Wilmington,Forum Shop,debtors,not applicable,"2,483",company did not emerge,not emerged 5 years,CA Santa Ana,,a $10 billion and over,"c 1,000 but less than 10,000","$1,079,295,603 ","$16,444 ",Chapter 7,Rutan Tucker
DR Holdings Inc. of Delaware,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,8/26/92,confirmed,no 363 sale,302,DE,DE,Wilmington,Forum Shop,debtors,free fall,"6,750",Company emerged,"emerged 5 years, did not refile",MA Boston,6/24/93,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,241,932,439 ","$2,125 ",Chapter 11,Paul Weiss
Dreco Energy Services Ltd.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,6/25/82,confirmed,no 363 sale,"1,084",Canada,TX SD,Houston,Filed at headquarters,debtors,free fall,"2,313",Company emerged,"emerged 5 years, did not refile",TX Houston,6/13/85,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$652,699,509 ",$524 ,Chapter 11,Fulbright Jaworski
"Drug Emporium, Inc.",G: Retail Trade,59 Miscellaneous Retail,Not tort,3/26/01,confirmed,no 363 sale,162,DE,OH ND,Youngstown,Forum Shop,debtors,prenegotiated,"5,500",Company emerged,"emerged 5 years, refiled",OH Columbus,9/4/01,d Less than $500 million,"c 1,000 but less than 10,000","$1,337,848,865 ",$392 ,Chapter 11,Squire Sanders
Drypers Corp.,D: Manufacturing,26 Paper and Allied Products,Not tort,10/10/00,confirmed,363 sale,307,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,"1,540",company did not emerge,not emerged 5 years,TX Houston,8/13/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$539,450,636 ",$505 ,Chapter 11,Diamond McCarthy
"DTI Holdings, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,12/31/01,confirmed,363 sale,527,MO,MO ED,St. Louis,Filed at headquarters,debtors,free fall,67,Company emerged,"emerged 5 years, did not refile",MO St. Louis,6/11/03,c $500 million but less than $1billion,e Less than 200,"$13,266,927 ",$562 ,Chapter 11,Sonnenschein Nath
"Dura Automotive Systems, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,10/30/06,confirmed,no 363 sale,561,DE,DE,Wilmington,Forum Shop,debtors,free fall,"15,800",Company emerged,"emerged 5 years, did not refile",MI Detroit,5/13/08,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$3,025,704,965 ","$2,679 ",Chapter 11,Kirkland Ellis
DVI Inc.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,8/25/03,confirmed,no 363 sale,457,DE,DE,Wilmington,Forum Shop,debtors,free fall,506,company did not emerge,not emerged 5 years,PA Philadelphia,11/24/04,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$197,542,579 ","$2,359 ",Chapter 11,Latham Watkins
Dyersburg Corp.,D: Manufacturing,22 Textile Mill Products,Not tort,9/25/00,converted,no 363 sale,724,TN,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,250",company did not emerge,not emerged 5 years,NC Charlotte,9/19/02,d Less than $500 million,"c 1,000 but less than 10,000","$467,053,725 ",$484 ,Chapter 11,Debevoise Plimpton
"Dynegy Holdings, LLC","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,11/7/11,confirmed,no 363 sale,308,DE,NY SD,Poughkeepsie,Forum Shop,debtors,prenegotiated,"1,654",Company emerged,"emerged 5 years, did not refile",TX Houston,9/10/12,a $10 billion and over,"c 1,000 but less than 10,000","$2,674,628,042 ","$11,529 ",Chapter 11,Sidley Austin
"e.spire Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,3/22/01,converted,363 sale,"1,881",DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,806",company did not emerge,not emerged 5 years,VA Alexandria,5/16/06,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$508,826,054 ","$1,309 ",Chapter 11,Saul Ewing
Eagle Bulk Shipping Inc.,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,8/6/14,confirmed,no 363 sale,47,Marshall Islands,NY SD,New York,Filed at headquarters,debtors,prepackaged,900,Company emerged,"emerged 5 years, did not refile",NY New York,9/22/14,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$221,693,463 ","$1,887 ",Chapter 11,Milbank Tweed
"Eagle Food Centers, Inc.",G: Retail Trade,54 Food Stores,Not tort,2/29/00,confirmed,no 363 sale,129,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"6,087",Company emerged,"emerged 5 years, refiled",IL Peoria,7/7/00,d Less than $500 million,"c 1,000 but less than 10,000","$1,430,902,721 ",$399 ,Chapter 11,Skadden Arps
"Eagle Geophysical, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,9/29/99,confirmed,no 363 sale,273,DE,DE,Wilmington,Forum Shop,debtors,free fall,390,Company emerged,"emerged 5 years, did not refile",TX Houston,6/28/00,d Less than $500 million,"d 200 but less than 1,000","$122,557,749 ",$424 ,Chapter 11,no data
"Eagle Picher Holdings, Inc. (2005)",D: Manufacturing,37 Transportation Equipment,Not tort,4/11/05,confirmed,no 363 sale,443,DE,OH SD,Cincinnati,Forum Shop,debtors,free fall,"4,200",Company emerged,"emerged 5 years, did not refile",AZ Phoenix,6/28/06,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$946,777,481 ",$801 ,Chapter 11,Squire Sanders
Eagle-Picher Industries Inc. (1991),D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Asbestos,1/7/91,confirmed,no 363 sale,"2,142",OH,OH SD,Cincinnati,Filed at headquarters,debtors,free fall,"7,600",Company emerged,"emerged 5 years, did not refile",OH Cincinnati,11/18/96,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,353,355,947 ",$801 ,Chapter 11,Weil Gotshal
Eastern Airlines Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,3/9/89,confirmed,no 363 sale,"2,114",DE,NY SD,New York,Forum Shop,debtors,free fall,"28,688",Company emerged,"emerged 5 years, did not refile",FL Miami,12/22/94,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$8,106,210,715 ","$7,824 ",Chapter 11,Weil Gotshal
Eastman Kodak Company,D: Manufacturing,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",Not tort,1/19/12,confirmed,no 363 sale,582,NJ,NY SD,New York,Forum Shop,debtors,free fall,"18,800",Company emerged,"emerged 5 years, did not refile",NY Rochester,8/23/13,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$6,920,232,184 ","$5,376 ",Chapter 11,Sullivan Cromwell
"Eddie Bauer Holdings, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,6/17/09,confirmed,363 sale,274,DE,DE,Wilmington,Forum Shop,debtors,free fall,"7,427",Company emerged,"emerged 5 years, did not refile",WA Seattle,3/18/10,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,235,877,279 ",$721 ,Chapter 11,Latham Watkins
Edge Petroleum Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,10/1/09,confirmed,no 363 sale,74,DE,TX SD,Corpus Christi,Forum Shop,debtors,prenegotiated,59,company did not emerge,not emerged 5 years,TX Houston,12/14/09,d Less than $500 million,e Less than 200,"$191,291,768 ",$431 ,Chapter 11,Akin Gump
"Edison Brothers Stores, Inc. (1995)",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,11/3/95,confirmed,no 363 sale,676,DE,DE,Wilmington,Forum Shop,debtors,free fall,"23,400",Company emerged,"emerged 5 years, refiled",MO St. Louis,9/9/97,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$2,503,670,661 ","$1,516 ",Chapter 11,Weil Gotshal
"Edison Brothers Stores, Inc. (1999)",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,3/9/99,converted,363 sale,484,DE,DE,Wilmington,Forum Shop,debtors,free fall,"14,639",company did not emerge,not emerged 5 years,MO St. Louis,7/5/00,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$1,720,707,030 ",$699 ,Chapter 11,Weil Gotshal
Edison Mission Energy,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,12/17/12,confirmed,no 363 sale,449,DE,IL ND,Chicago,Forum Shop,debtors,prenegotiated,"1,783",company did not emerge,not emerged 5 years,CA Santa Ana,3/11/14,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,473,130,866 ","$9,442 ",Chapter 11,Kirkland Ellis
Edisto Resources Corp.,B: Mining,13 Oil And Gas Extraction,Not tort,10/26/92,confirmed,no 363 sale,213,DE,DE,Wilmington,Forum Shop,debtors,free fall,226,Company emerged,"emerged 5 years, did not refile",TX Dallas,5/27/93,c $500 million but less than $1billion,"d 200 but less than 1,000","$634,031,924 ",$660 ,Chapter 11,Baker Botts
Einstein Noah Bagel Corp,G: Retail Trade,58 Eating and Drinking Places,Not tort,4/27/00,confirmed,363 sale,699,DE,AZ,Phoenix,Forum Shop,debtors,free fall,"12,800",company did not emerge,not emerged 5 years,CO Denver,3/27/02,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$571,049,330 ",$549 ,Chapter 11,Skadden Arps
El Paso Electric Co.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1/8/92,confirmed,no 363 sale,"1,462",TX,TX WD,Austin,Forum Shop,debtors,free fall,"1,100",Company emerged,"emerged 5 years, did not refile",TX El Paso,1/9/96,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$872,154,091 ","$2,960 ",Chapter 11,Sidley Austin
El Paso Refinery LP,D: Manufacturing,29 Petroleum Refining And Related Industries,Not tort,10/23/92,converted,no 363 sale,375,DE,TX WD,Austin,Forum Shop,debtors,free fall,379,company did not emerge,not emerged 5 years,TX El Paso,11/2/93,c $500 million but less than $1billion,"d 200 but less than 1,000","$633,148,369 ",$549 ,Chapter 11,Andrews Kurth
"Emerald Oil, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,3/22/16,confirmed,363 sale,367,DE,DE,Wilmington,Forum Shop,debtors,free fall,42,Company emerged,not emerged 5 years,CO Denver,3/24/17,c $500 million but less than $1billion,e Less than 200,"$123,172,913 ",$754 ,Chapter 11,Kirkland Ellis
"Emergent Capital, Inc. (White Eagle Asset Portfolio, LP only)","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,12/13/18,confirmed,no 363 sale,188,FL,DE,Wilmington,Forum Shop,debtors,free fall,13,Company emerged,not emerged 5 years,FL West Palm Beach,6/19/19,c $500 million but less than $1billion,e Less than 200,"$53,781,023 ",$658 ,Chapter 11,Pachulski Stang
Emerson Radio Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,9/29/93,confirmed,no 363 sale,183,NJ,NJ,Newark,Filed at headquarters,debtors,prenegotiated,650,Company emerged,"emerged 5 years, did not refile",NJ Newark,3/31/94,d Less than $500 million,"d 200 but less than 1,000","$1,330,835,446 ",$405 ,Chapter 11,Ravin Greenberg
Encompass Services Corporation,C: Construction,17 Construction Special Trade Contractors,Not tort,11/19/02,confirmed,no 363 sale,190,TX,TX SD,Houston,Filed at headquarters,debtors,free fall,"31,000",Company emerged,"emerged 5 years, did not refile",TX Houston,5/28/03,b $1 billion but less than $10 billion,"a 30,000 and over","$5,609,939,020 ","$3,450 ",Chapter 11,Weil Gotshal
Endeavour International Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,10/10/14,dismissed,363 sale,423,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,41,company did not emerge,not emerged 5 years,TX Houston,12/7/15,b $1 billion but less than $10 billion,e Less than 200,"$370,431,628 ","$1,673 ",Chapter 11,Weil Gotshal
"Ener1, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,1/26/12,confirmed,no 363 sale,33,FL,NY SD,New York,Filed at headquarters,debtors,prepackaged,769,Company emerged,"emerged 5 years, did not refile",NY New York,2/28/12,d Less than $500 million,"d 200 but less than 1,000","$88,951,759 ",$456 ,Chapter 11,Reed Smith
"Energy Conversion Devices, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2/14/12,confirmed,no 363 sale,167,DE,MI ED,Detroit,Filed at headquarters,debtors,free fall,"1,300",company did not emerge,not emerged 5 years,MI Detroit,7/30/12,d Less than $500 million,"c 1,000 but less than 10,000","$266,060,742 ",$444 ,Chapter 11,Honigman Miller
Energy Future Holdings Corp.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,4/29/14,confirmed,no 363 sale,"1,400",DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"9,000",Company emerged,not emerged 5 years,TX Dallas,2/27/18,a $10 billion and over,"c 1,000 but less than 10,000","$6,481,305,789 ","$40,044 ",Chapter 11,Kirkland Ellis
